Date,Time,Name,Text,Label
12-12-2024, 3:22 pm , DSMax_HelloKids,Plz send me santhosh mother  mobile number,Non-Flirt
12-12-2024, 4:08 pm , AnandAmmu,Pavithra J,Non-Flirt
01-01-2025, 9:01 pm , AnandAmmu,Hi Mam,Non-Flirt
01-01-2025, 9:02 pm , AnandAmmu,Also please let us know,Non-Flirt
01-01-2025, 10:55 pm , DSMax_HelloKids,Ok Mam,Non-Flirt
01-01-2025, 10:55 pm , DSMax_HelloKids,Jan 6th Monday,Non-Flirt
02-01-2025, 10:18 am , DSMax_HelloKids,Dear Parents,Non-Flirt
02-01-2025, 10:21 am , DSMax_HelloKids,Note:,Non-Flirt
02-01-2025, 10:42 am , AnandAmmu,Mam santhosh is not part of previous annual year,Non-Flirt
02-01-2025, 10:42 am , AnandAmmu,Fee*,Non-Flirt
02-01-2025, 3:04 pm , DSMax_HelloKids,Would you like to make him participate,Non-Flirt
02-01-2025, 3:40 pm , AnandAmmu,No mam,Non-Flirt
02-01-2025, 3:45 pm , DSMax_HelloKids,Ok,Non-Flirt
05-01-2025, 11:57 am , DSMax_HelloKids,Dear Parents,Non-Flirt
06-01-2025, 2:17 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
06-01-2025, 2:28 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
06-01-2025, 4:11 pm , DSMax_HelloKids,*Alert: HMPV Virus Awareness*,Non-Flirt
07-01-2025, 10:03 am , DSMax_HelloKids,Dear parent,Non-Flirt
08-01-2025, 3:01 pm , DSMax_HelloKids,This message was deleted,Non-Flirt
08-01-2025, 3:04 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
10-01-2025, 10:30 am , DSMax_HelloKids,Dear Parents,Non-Flirt
10-01-2025, 10:30 am , DSMax_HelloKids,Note: ,Non-Flirt
10-01-2025, 12:52 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
13-01-2025, 8:16 am , DSMax_HelloKids,Dear parents,Non-Flirt
16-01-2025, 1:01 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
21-01-2025, 12:47 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
23-01-2025, 9:12 am , DSMax_HelloKids,Ok thankyou for the update,Non-Flirt
23-01-2025, 11:57 am , DSMax_HelloKids,Dear Parents,Non-Flirt
30-01-2025, 10:04 am , DSMax_HelloKids,Dear Parents,Non-Flirt
10-02-2025, 9:14 am , AnandAmmu,Hi Mam,Non-Flirt
10-02-2025, 9:15 am , DSMax_HelloKids,Ok,Non-Flirt
13-02-2025, 11:25 am , DSMax_HelloKids,Dear Parents,Non-Flirt
17-02-2025, 10:15 am , DSMax_HelloKids,This message was deleted,Non-Flirt
17-02-2025, 10:19 am , DSMax_HelloKids,Dear Parents,Non-Flirt
18-02-2025, 11:00 am , DSMax_HelloKids,Dear Parents,Non-Flirt
18-02-2025, 5:48 pm , DSMax_HelloKids,This message was deleted,Non-Flirt
18-02-2025, 5:54 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
20-02-2025, 2:41 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
22-02-2025, 8:49 am , DSMax_HelloKids,Good Morning!,Non-Flirt
23-02-2025, 5:44 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
23-02-2025, 7:00 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
24-02-2025, 5:39 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
25-02-2025, 10:02 am , DSMax_HelloKids,This message was deleted,Non-Flirt
25-02-2025, 10:06 am , DSMax_HelloKids,Dear Parents,Non-Flirt
27-02-2025, 9:58 am , DSMax_HelloKids,Ok,Non-Flirt
27-02-2025, 10:34 am , DSMax_HelloKids,Good Morning!,Non-Flirt
27-02-2025, 10:53 am , AnandAmmu,Mam we already opted for bridge course,Non-Flirt
27-02-2025, 11:02 am , DSMax_HelloKids,This is for old parents,Non-Flirt
03-03-2025, 12:26 pm , DSMax_HelloKids,Dear parent,Non-Flirt
04-03-2025, 12:11 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
05-03-2025, 1:41 pm , DSMax_HelloKids,Soft copy photos will be sent shortly.,Non-Flirt
06-03-2025, 10:13 am , DSMax_HelloKids,Good morning,Non-Flirt
07-03-2025, 11:33 am , DSMax_HelloKids,This message was deleted,Non-Flirt
07-03-2025, 12:05 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
07-03-2025, 5:12 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
09-03-2025, 3:56 pm , DSMax_HelloKids,A gentle Remainder ,Non-Flirt
11-03-2025, 1:30 pm , DSMax_HelloKids,This message was deleted,Non-Flirt
11-03-2025, 1:44 pm , DSMax_HelloKids,This message was deleted,Non-Flirt
11-03-2025, 1:51 pm , DSMax_HelloKids,This message was deleted,Non-Flirt
11-03-2025, 2:28 pm , DSMax_HelloKids,Join us for an unforgettable summer,Non-Flirt
12-03-2025, 3:20 pm , DSMax_HelloKids,This message was deleted,Non-Flirt
12-03-2025, 3:21 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
13-03-2025, 12:38 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
13-03-2025, 3:09 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
14-03-2025, 1:27 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
17-03-2025, 11:57 am , DSMax_HelloKids,Join us for an unforgettable summer,Non-Flirt
17-03-2025, 11:57 am , DSMax_HelloKids,A gentle Remainder,Non-Flirt
19-03-2025, 11:46 am , AnandAmmu,Hello Mam- Good Noon,Non-Flirt
19-03-2025, 11:47 am , AnandAmmu,Today I am having early session at office,Non-Flirt
19-03-2025, 11:49 am , DSMax_HelloKids,Ok sir,Non-Flirt
19-03-2025, 3:03 pm , DSMax_HelloKids,This message was deleted,Non-Flirt
19-03-2025, 3:19 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
19-03-2025, 4:09 pm , DSMax_HelloKids,Note: Red tshirt and blue jean shorts uniform.,Non-Flirt
19-03-2025, 7:05 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
20-03-2025, 3:41 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
21-03-2025, 12:14 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
21-03-2025, 12:14 pm , DSMax_HelloKids,Kindly confirm it by tomorrow evening.,Non-Flirt
27-03-2025, 2:10 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
01-04-2025, 10:50 am , DSMax_HelloKids,Dear Parents,Non-Flirt
02-04-2025, 11:36 am , DSMax_HelloKids,Good Morning!,Non-Flirt
07-04-2025, 7:49 pm , DSMax_HelloKids,Dear Parents,Non-Flirt
21-04-2025, 11:41 am , DSMax_HelloKids,Dear Parents,Non-Flirt
